50,20,54,41,36,-45,1,51,20,-19,13,16,-42,-57,-23,-48
79,-14,50,-4,10,-67,110,-50,-80,35,-105,0,-2,-89,32,-8
56,54,119,-68,91,14,-1,-5,9,-32,46,77,-39,-100,43,-59
122,-38,82,-9,86,52,12,-64,1,-31,82,-5,43,5,14,-23
42,-39,-11,43,100,-15,88,-53,103,40,-16,0,-56,-22,72,-27
76,-39,89,-69,5,-64,41,13,1,-56,-2,70,-90,-43,54,46
24,58,-75,-55,104,-71,-46,17,112,8,-28,48,-70,-33,98,9
93,22,-84,66,25,-18,-82,14,50,57,35,83,-63,30,-61,-25
11,62,-4,-106,-30,-81,95,-18,-28,11,55,79,5,-32,-31,8
-13,-54,-3,-86,85,-61,76,60,24,18,-54,-99,-56,-120,80,-28
60,-64,82,19,51,0,63,9,55,-38,103,11,-54,-98,-8,16
53,-51,-74,71,57,51,-62,-38,93,-1,-38,45,44,-23,58,16
112,-44,86,22,-64,-8,-15,-4,10,4,94,66,57,19,52,7
49,26,2,-46,-110,-18,63,16,3,16,61,-18,-82,-64,-59,-35
89,23,-3,-31,84,37,21,23,89,25,65,27,-38,-2,-98,44
44,54,-110,-4,-10,8,-82,-46,61,56,85,35,-26,51,-1,-23
88,-33,35,-76,-15,37,33,24,-38,-49,8,21,22,89,28,-16
-42,-44,76,-5,109,-23,87,-33,70,2,-42,-8,-103,5,92,31
-93,34,91,79,120,-83,34,-54,82,-32,-41,-21,89,-19,122,43
-10,-26,11,42,-31,61,58,-35,-76,-51,2,33,70,37,29,54
34,39,119,-99,-116,53,41,63,-63,-5,-60,-35,13,1,-64,8
57,-15,2,23,-45,45,-86,55,127,-57,70,-40,8,16,-30,-32
-70,37,43,56,15,37,-121,58,101,45,-12,-9,-80,12,29,22
68,-50,-43,119,-40,-1,-85,38,19,8,-27,3,-8,93,25,44
-66,-33,13,-8,-74,-12,-75,49,-111,-35,-26,-9,86,103,-11,-55
-90,20,6,37,20,-89,50,-9,49,34,-30,29,7,-12,80,-17
-83,14,62,76,51,16,32,-36,12,-61,-22,75,96,51,21,-54
-3,-17,3,-77,-16,28,34,32,113,-25,-47,-12,-12,99,-16,3
66,39,87,-68,-83,19,120,-34,7,-13,-4,-19,-13,67,26,17
-13,44,61,110,20,86,-34,-44,53,-55,1,79,-67,-8,35,-23
42,-47,32,39,-28,89,-14,-21,36,-41,42,99,-98,91,25,-16
-121,-35,-4,39,-2,78,-84,14,-41,-11,-31,113,15,28,90,37
50,59,59,-65,54,49,-26,33,61,49,65,-49,-13,-31,-24,-11
-51,-22,3,113,50,21,-38,-25,-48,63,71,12,35,105,57,-63
-88,-23,-56,105,55,-104,-95,-38,87,41,-14,83,-3,93,99,43
93,-63,-119,-21,31,58,-33,9,96,-39,8,111,88,75,-62,-41
67,-37,-39,-55,-16,97,33,-38,13,-42,-57,94,28,70,-93,-16
92,16,12,0,-7,49,-26,-42,25,57,-25,71,-107,-12,-45,-4
-52,-9,11,16,76,-9,-106,34,33,23,-6,47,-45,-39,39,-13
-20,-47,56,48,-36,62,38,-11,31,2,-10,62,31,62,-31,-61
-46,2,44,96,-102,21,-3,59,-71,9,-16,18,1,75,15,30
-79,-44,-44,124,-12,-17,-52,63,-21,-52,55,13,-75,67,67,-38
-34,-55,-95,98,19,-106,-63,19,11,-22,16,-1,26,36,-31,-41
112,-36,-63,36,42,52,-121,22,-97,62,-30,-28,66,42,-52,6
91,-57,-34,44,40,85,-68,15,-21,-16,-69,20,69,102,-32,-43
-85,-41,34,17,-8,-35,70,1,59,-3,111,21,-25,-4,-27,-40
-25,65,24,-20,36,-54,85,-5,70,-54,-26,-30,40,-5,-54,-30
47,12,-84,-113,32,-104,-68,1,74,-36,-71,-29,41,31,-71,-24
90,20,-18,88,-104,-15,-83,24,-8,-1,-120,25,-11,87,-8,-27
-84,-60,79,27,35,-14,5,60,65,-40,-56,-54,-7,53,74,-26
-113,-43,46,-6,-25,16,0,-17,56,-8,82,7,40,-29,-6,9
32,-22,-116,-48,76,77,-9,-27,-86,26,71,-66,99,85,-3,-62
-94,10,71,43,-41,16,25,-16,-102,-63,-23,58,87,85,2,-49
5,-57,96,-1,-46,-28,60,-31,-56,19,102,-23,116,23,65,-8
74,-28,-16,-85,51,-66,5,11,-83,-43,-34,-97,17,46,-79,2
82,-39,-58,-23,-6,32,-37,48,-70,-32,-9,13,22,40,8,29
80,0,24,17,-41,47,-66,51,-110,25,4,-88,40,-26,97,-46
23,-24,97,-17,81,-19,83,30,-104,52,8,35,-34,-39,94,13
119,-4,88,-82,121,19,49,-48,8,-18,-39,34,-24,-54,95,28
5,-44,49,-17,72,-68,101,-35,-7,-27,98,-37,-19,-50,-14,27
-49,-45,41,38,-14,92,122,-14,-71,-59,13,-115,88,23,-7,-69
15,-38,2,-76,16,13,28,-12,-17,-33,-74,-17,32,48,-61,-34
77,-22,-38,-69,-32,88,-99,5,15,-57,-78,-35,94,104,108,-48
37,-51,-23,-99,-33,122,1,-60,-63,-15,-97,-112,51,74,59,-47
