17,29,-11,21,7,-24,1,-12,30,1
23,18,-17,-15,12,-4,25,30,25,9
25,18,-17,15,-25,-27,-29,-5,-18,-22
16,13,-16,-28,-25,-22,4,-8,22,0
-19,-11,-18,5,31,-3,-31,-28,20,-27
20,1,-13,-9,-27,17,26,15,-23,8
23,26,-18,-23,7,-19,19,-24,18,-4
21,-4,-2,-24,7,-28,8,21,16,20
0,12,-18,-14,-6,-20,-31,28,-31,-15
30,-25,-25,16,17,21,-2,24,18,-16
-28,0,25,5,1,18,0,4,-20,22
-9,23,17,-31,28,-2,-19,20,11,4
8,-12,13,30,-21,-2,27,30,10,14
-5,-16,13,19,-23,32,-19,28,20,17
26,-12,22,-28,26,14,-2,-27,12,29
-17,-2,2,-31,-27,1,-11,-15,7,22
